frame.time_epoch,frame.len,ip.src,ip.dst,modbus.func_code,modbus.reference_num,modbus.read_reference_num,modbus.write_reference_num,modbus.word_cnt,modbus.read_word_cnt,modbus.write_word_cnt,modbus.byte_cnt,modbus.exception_code,modbus.response_time,modbus.request_frame,modbus.regnum16,modbus.regval_uint16,modbus.regval_float,aligned_epoch,aligned_ts,abs_delta_s,second_bin
1679159826.597371,74,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170626.597371,2023-03-18 20:17:06.597371101,98.386628899,2023-03-18 20:17:06
1679159826.597408,74,185.175.0.4,185.175.0.3,,,,,,,,,,,,,,,1679170626.597408,2023-03-18 20:17:06.597408056,98.386591944,2023-03-18 20:17:06
1679159826.597436,66,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170626.597436,2023-03-18 20:17:06.597435951,98.386564049,2023-03-18 20:17:06
1679159826.597548,78,185.175.0.3,185.175.0.4,3.0,8.0,,,1.0,,,,,,,,,,1679170626.597548,2023-03-18 20:17:06.597548008,98.386451992,2023-03-18 20:17:06
1679159826.597566,66,185.175.0.4,185.175.0.3,,,,,,,,,,,,,,,1679170626.597566,2023-03-18 20:17:06.597565889,98.386434111,2023-03-18 20:17:06
1679159826.60158,77,185.175.0.4,185.175.0.3,3.0,,,,,,,2.0,,0.004032,15449.0,8.0,11.0,,1679170626.60158,2023-03-18 20:17:06.601579905,98.382420095,2023-03-18 20:17:06
1679159826.601606,66,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170626.601606,2023-03-18 20:17:06.601605892,98.382394108,2023-03-18 20:17:06
1679159826.602378,66,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170626.602378,2023-03-18 20:17:06.602377892,98.381622108,2023-03-18 20:17:06
1679159826.622602,74,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170626.622602,2023-03-18 20:17:06.622601986,98.361398014,2023-03-18 20:17:06
1679159826.622631,74,185.175.0.4,185.175.0.3,,,,,,,,,,,,,,,1679170626.622631,2023-03-18 20:17:06.622631073,98.361368927,2023-03-18 20:17:06
1679159826.622655,66,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170626.622655,2023-03-18 20:17:06.622654915,98.361345085,2023-03-18 20:17:06
1679159826.622751,78,185.175.0.3,185.175.0.4,4.0,8.0,,,1.0,,,,,,,,,,1679170626.622751,2023-03-18 20:17:06.622750998,98.361249002,2023-03-18 20:17:06
1679159826.622767,66,185.175.0.4,185.175.0.3,,,,,,,,,,,,,,,1679170626.622767,2023-03-18 20:17:06.622766972,98.361233028,2023-03-18 20:17:06
1679159826.623504,77,185.175.0.4,185.175.0.3,4.0,,,,,,,2.0,,0.000753,15457.0,8.0,11432.0,,1679170626.623504,2023-03-18 20:17:06.623503923,98.360496077,2023-03-18 20:17:06
1679159826.623527,66,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170626.623527,2023-03-18 20:17:06.623527050,98.36047295,2023-03-18 20:17:06
1679159826.623651,66,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170626.623651,2023-03-18 20:17:06.623651028,98.360348972,2023-03-18 20:17:06
1679159826.644465,74,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170626.644465,2023-03-18 20:17:06.644464970,98.33953503,2023-03-18 20:17:06
1679159826.644497,74,185.175.0.4,185.175.0.3,,,,,,,,,,,,,,,1679170626.644497,2023-03-18 20:17:06.644496918,98.339503082,2023-03-18 20:17:06
1679159826.644522,66,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170626.644522,2023-03-18 20:17:06.644521952,98.339478048,2023-03-18 20:17:06
1679159826.644624,78,185.175.0.3,185.175.0.4,1.0,14.0,,,,,,,,,,,,,1679170626.644624,2023-03-18 20:17:06.644623995,98.339376005,2023-03-18 20:17:06
1679159826.64464,66,185.175.0.4,185.175.0.3,,,,,,,,,,,,,,,1679170626.64464,2023-03-18 20:17:06.644639969,98.339360031,2023-03-18 20:17:06
1679159826.645204,66,185.175.0.4,185.175.0.3,,,,,,,,,,,,,,,1679170626.645204,2023-03-18 20:17:06.645204067,98.338795933,2023-03-18 20:17:06
1679159826.645493,76,185.175.0.4,185.175.0.3,1.0,,,,,,,1.0,,0.000869,15465.0,,,,1679170626.645493,2023-03-18 20:17:06.645493031,98.338506969,2023-03-18 20:17:06
1679159826.645515,66,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170626.645515,2023-03-18 20:17:06.645514965,98.338485035,2023-03-18 20:17:06
1679159826.6458,66,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170626.6458,2023-03-18 20:17:06.645800114,98.338199886,2023-03-18 20:17:06
1679159826.665227,66,185.175.0.4,185.175.0.3,,,,,,,,,,,,,,,1679170626.665227,2023-03-18 20:17:06.665226936,98.318773064,2023-03-18 20:17:06
1679159826.666001,74,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170626.666001,2023-03-18 20:17:06.666001081,98.317998919,2023-03-18 20:17:06
1679159826.666029,74,185.175.0.4,185.175.0.3,,,,,,,,,,,,,,,1679170626.666029,2023-03-18 20:17:06.666028976,98.317971024,2023-03-18 20:17:06
1679159826.666052,66,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170626.666052,2023-03-18 20:17:06.666052103,98.317947897,2023-03-18 20:17:06
1679159826.666144,78,185.175.0.3,185.175.0.4,1.0,13.0,,,,,,,,,,,,,1679170626.666144,2023-03-18 20:17:06.666143894,98.317856106,2023-03-18 20:17:06
1679159826.66616,66,185.175.0.4,185.175.0.3,,,,,,,,,,,,,,,1679170626.66616,2023-03-18 20:17:06.666160107,98.317839893,2023-03-18 20:17:06
1679159826.667646,76,185.175.0.4,185.175.0.3,1.0,,,,,,,1.0,,0.001502,15480.0,,,,1679170626.667646,2023-03-18 20:17:06.667645931,98.316354069,2023-03-18 20:17:06
1679159826.667668,66,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170626.667668,2023-03-18 20:17:06.667668104,98.316331896,2023-03-18 20:17:06
1679159826.668001,66,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170626.668001,2023-03-18 20:17:06.668000937,98.315999063,2023-03-18 20:17:06
1679159826.688306,74,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170626.688306,2023-03-18 20:17:06.688306093,98.295693907,2023-03-18 20:17:06
1679159826.688343,74,185.175.0.4,185.175.0.3,,,,,,,,,,,,,,,1679170626.688343,2023-03-18 20:17:06.688343048,98.295656952,2023-03-18 20:17:06
1679159826.688369,66,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170626.688369,2023-03-18 20:17:06.688369036,98.295630964,2023-03-18 20:17:06
1679159826.688477,78,185.175.0.3,185.175.0.4,2.0,8.0,,,,,,,,,,,,,1679170626.688477,2023-03-18 20:17:06.688477039,98.295522961,2023-03-18 20:17:06
1679159826.688493,66,185.175.0.4,185.175.0.3,,,,,,,,,,,,,,,1679170626.688493,2023-03-18 20:17:06.688493013,98.295506987,2023-03-18 20:17:06
1679159826.689211,66,185.175.0.4,185.175.0.3,,,,,,,,,,,,,,,1679170626.689211,2023-03-18 20:17:06.689210892,98.294789108,2023-03-18 20:17:06
1679159826.696394,76,185.175.0.4,185.175.0.3,2.0,,,,,,,1.0,,0.007917,15491.0,,,,1679170626.696394,2023-03-18 20:17:06.696393967,98.287606033,2023-03-18 20:17:06
1679159826.696425,66,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170626.696425,2023-03-18 20:17:06.696424961,98.287575039,2023-03-18 20:17:06
1679159826.696948,66,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170626.696948,2023-03-18 20:17:06.696948051,98.287051949,2023-03-18 20:17:06
1679159826.709217,66,185.175.0.4,185.175.0.3,,,,,,,,,,,,,,,1679170626.709217,2023-03-18 20:17:06.709217072,98.274782928,2023-03-18 20:17:06
1679159826.73721,66,185.175.0.4,185.175.0.3,,,,,,,,,,,,,,,1679170626.73721,2023-03-18 20:17:06.737210035,98.246789965,2023-03-18 20:17:06
1679159831.701397,74,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170631.701397,2023-03-18 20:17:11.701396942,93.282603058,2023-03-18 20:17:11
1679159831.701439,74,185.175.0.4,185.175.0.3,,,,,,,,,,,,,,,1679170631.701439,2023-03-18 20:17:11.701438904,93.282561096,2023-03-18 20:17:11
1679159831.70147,66,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170631.70147,2023-03-18 20:17:11.701469898,93.282530102,2023-03-18 20:17:11
1679159831.7016,78,185.175.0.3,185.175.0.4,3.0,8.0,,,1.0,,,,,,,,,,1679170631.7016,2023-03-18 20:17:11.701600075,93.282399925,2023-03-18 20:17:11
1679159831.70162,66,185.175.0.4,185.175.0.3,,,,,,,,,,,,,,,1679170631.70162,2023-03-18 20:17:11.701620102,93.282379898,2023-03-18 20:17:11
1679159831.703076,77,185.175.0.4,185.175.0.3,3.0,,,,,,,2.0,,0.001476,15589.0,8.0,11.0,,1679170631.703076,2023-03-18 20:17:11.703075886,93.280924114,2023-03-18 20:17:11
1679159831.703099,66,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170631.703099,2023-03-18 20:17:11.703099012,93.280900988,2023-03-18 20:17:11
1679159831.703314,66,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170631.703314,2023-03-18 20:17:11.703314066,93.280685934,2023-03-18 20:17:11
1679159831.723525,74,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170631.723525,2023-03-18 20:17:11.723525047,93.260474953,2023-03-18 20:17:11
1679159831.723556,74,185.175.0.4,185.175.0.3,,,,,,,,,,,,,,,1679170631.723556,2023-03-18 20:17:11.723556042,93.260443958,2023-03-18 20:17:11
1679159831.723583,66,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170631.723583,2023-03-18 20:17:11.723582983,93.260417017,2023-03-18 20:17:11
1679159831.723686,78,185.175.0.3,185.175.0.4,4.0,8.0,,,1.0,,,,,,,,,,1679170631.723686,2023-03-18 20:17:11.723685980,93.26031402,2023-03-18 20:17:11
1679159831.723705,66,185.175.0.4,185.175.0.3,,,,,,,,,,,,,,,1679170631.723705,2023-03-18 20:17:11.723705053,93.260294947,2023-03-18 20:17:11
1679159831.724634,77,185.175.0.4,185.175.0.3,4.0,,,,,,,2.0,,0.000948,15597.0,8.0,11432.0,,1679170631.724634,2023-03-18 20:17:11.724633932,93.259366068,2023-03-18 20:17:11
1679159831.724657,66,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170631.724657,2023-03-18 20:17:11.724657059,93.259342941,2023-03-18 20:17:11
1679159831.724838,66,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170631.724838,2023-03-18 20:17:11.724838018,93.259161982,2023-03-18 20:17:11
1679159831.745216,66,185.175.0.4,185.175.0.3,,,,,,,,,,,,,,,1679170631.745216,2023-03-18 20:17:11.745215893,93.238784107,2023-03-18 20:17:11
1679159831.746055,74,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170631.746055,2023-03-18 20:17:11.746054888,93.237945112,2023-03-18 20:17:11
1679159831.746086,74,185.175.0.4,185.175.0.3,,,,,,,,,,,,,,,1679170631.746086,2023-03-18 20:17:11.746085882,93.237914118,2023-03-18 20:17:11
1679159831.746113,66,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170631.746113,2023-03-18 20:17:11.746113062,93.237886938,2023-03-18 20:17:11
1679159831.746217,78,185.175.0.3,185.175.0.4,1.0,14.0,,,,,,,,,,,,,1679170631.746217,2023-03-18 20:17:11.746217012,93.237782988,2023-03-18 20:17:11
1679159831.746236,66,185.175.0.4,185.175.0.3,,,,,,,,,,,,,,,1679170631.746236,2023-03-18 20:17:11.746236086,93.237763914,2023-03-18 20:17:11
1679159831.747104,76,185.175.0.4,185.175.0.3,1.0,,,,,,,1.0,,0.000887,15606.0,,,,1679170631.747104,2023-03-18 20:17:11.747103930,93.23689607,2023-03-18 20:17:11
1679159831.74713,66,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170631.74713,2023-03-18 20:17:11.747129917,93.236870083,2023-03-18 20:17:11
1679159831.747277,66,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170631.747277,2023-03-18 20:17:11.747277021,93.236722979,2023-03-18 20:17:11
1679159831.765216,66,185.175.0.4,185.175.0.3,,,,,,,,,,,,,,,1679170631.765216,2023-03-18 20:17:11.765216112,93.218783888,2023-03-18 20:17:11
1679159831.767477,74,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170631.767477,2023-03-18 20:17:11.767477036,93.216522964,2023-03-18 20:17:11
1679159831.767508,74,185.175.0.4,185.175.0.3,,,,,,,,,,,,,,,1679170631.767508,2023-03-18 20:17:11.767508030,93.21649197,2023-03-18 20:17:11
1679159831.767534,66,185.175.0.3,185.175.0.4,,,,,,,,,,,,,,,1679170631.767534,2023-03-18 20:17:11.767534018,93.216465982,2023-03-18 20:17:11
