frame.time_epoch,frame.len,ip.src,ip.dst,modbus.func_code,modbus.reference_num,modbus.read_reference_num,modbus.write_reference_num,modbus.word_cnt,modbus.read_word_cnt,modbus.write_word_cnt,modbus.byte_cnt,modbus.exception_code,modbus.response_time,modbus.request_frame,modbus.regnum16,modbus.regval_uint16,modbus.regval_float,aligned_epoch,aligned_ts,abs_delta_s,second_bin
1679184018.962999,74,185.175.0.3,185.175.0.8,,,,,,,,,,,,,,,1679194818.962999,2023-03-19 03:00:18.962999105,98.850000895,2023-03-19 03:00:18
1679184018.963034,74,185.175.0.8,185.175.0.3,,,,,,,,,,,,,,,1679194818.963034,2023-03-19 03:00:18.963033915,98.849966085,2023-03-19 03:00:18
1679184018.96306,66,185.175.0.3,185.175.0.8,,,,,,,,,,,,,,,1679194818.96306,2023-03-19 03:00:18.963059902,98.849940098,2023-03-19 03:00:18
1679184018.963168,78,185.175.0.3,185.175.0.8,3.0,8.0,,,1.0,,,,,,,,,,1679194818.963168,2023-03-19 03:00:18.963167906,98.849832094,2023-03-19 03:00:18
1679184018.963184,66,185.175.0.8,185.175.0.3,,,,,,,,,,,,,,,1679194818.963184,2023-03-19 03:00:18.963184118,98.849815882,2023-03-19 03:00:18
1679184018.964235,77,185.175.0.8,185.175.0.3,3.0,,,,,,,2.0,,0.001067,899261.0,8.0,8.0,,1679194818.964235,2023-03-19 03:00:18.964235067,98.848764933,2023-03-19 03:00:18
1679184018.964263,66,185.175.0.3,185.175.0.8,,,,,,,,,,,,,,,1679194818.964263,2023-03-19 03:00:18.964262962,98.848737038,2023-03-19 03:00:18
1679184018.9644,66,185.175.0.3,185.175.0.8,,,,,,,,,,,,,,,1679194818.9644,2023-03-19 03:00:18.964400053,98.848599947,2023-03-19 03:00:18
1679184018.984607,74,185.175.0.3,185.175.0.8,,,,,,,,,,,,,,,1679194818.984607,2023-03-19 03:00:18.984606981,98.828393019,2023-03-19 03:00:18
1679184018.984636,74,185.175.0.8,185.175.0.3,,,,,,,,,,,,,,,1679194818.984636,2023-03-19 03:00:18.984636068,98.828363932,2023-03-19 03:00:18
1679184018.984659,66,185.175.0.3,185.175.0.8,,,,,,,,,,,,,,,1679194818.984659,2023-03-19 03:00:18.984658957,98.828341043,2023-03-19 03:00:18
1679184018.984756,78,185.175.0.3,185.175.0.8,4.0,8.0,,,1.0,,,,,,,,,,1679194818.984756,2023-03-19 03:00:18.984755993,98.828244007,2023-03-19 03:00:18
1679184018.984772,66,185.175.0.8,185.175.0.3,,,,,,,,,,,,,,,1679194818.984772,2023-03-19 03:00:18.984771967,98.828228033,2023-03-19 03:00:18
1679184018.985716,77,185.175.0.8,185.175.0.3,4.0,,,,,,,2.0,,0.00096,899272.0,8.0,11567.0,,1679194818.985716,2023-03-19 03:00:18.985716105,98.827283895,2023-03-19 03:00:18
1679184018.985742,66,185.175.0.3,185.175.0.8,,,,,,,,,,,,,,,1679194818.985742,2023-03-19 03:00:18.985742092,98.827257908,2023-03-19 03:00:18
